SequenceID	ItemType	ReviewType	Sequence	Phase	Step	FormName	Position	AssignToPosition	ChildReviewName
1	RPA	Ops Initial	10	1	2	frmRPAreview	ODIU		
2	RPA	OCC Review	20	1	2	frmRPAreview	OCC		
3	RPA	PAGS Review	30	1	2	frmRPAreview	DPAGS		
4	RPA	Assign PDM	40	1	3	frmAssignPDC	PDTFL		
5	RPA	Exploratory Call	50	1	4	frmSubrecipientExploratoryCall	PDTFL	DIUS	
6	RPA	DIU Enter Call	60	1	4	frmSubrecipientExploratoryCall	DIUL	DIUS	
7	RPA	Scoping Meeting	60	1	5	frmSubrecipientRSM	PDTFL	DIUS	
8	RPA	DIU Enter RSM	70	1	5	frmSubrecipientRSM	DIUL	DIUS	
9	RPA	Enter Projects	70	1	6	navProjectFormulation	PDTFL		
10	RPA	Ops RPA Eligibility	40	1	2	frmRPAreview	OPSL	ODIU	
11	RPA	Exit Briefing	80	4	13		PDTFL		
12	Project	Project Entry	10	1	7	frmProcessProjectRoutingSheet PDC	PDTFL		Site Entry
13	Project	DIU Lane Select	20	2	6	frmDIUProcessProjectRoutingSheet	DIUL	DIUS	DIU Lane Select
14	EXProject	Assign DVS	10	2	9	frmExpeditedLaneDI	EXGL		Assign DVS
15	EXProject	Validation	20	2	9	frmExpeditedLaneDI	EXGL	EXDVS	
16	EXProject	DDD Entry	30	2	9	frmExpeditedLaneDI	EXGL	EXDVS	
17	EXProject	DDD with PDM	40	2	9	frmExpeditedLaneDI	EXGL	EXDVS	
18	EXProject	NA	50	2	9	frmExpeditedLaneDI	EXGL		
19	EXProject	PDM Concurrence	60	2	9	frmExpeditedLaneDI	PDTFL		
20	EXProject	Applicant Concurrence	70	2	9	frmExpeditedLaneDI	PDTFL		
21	EXProject	Assign DAS	80	3	10	frmExpeditedScopingCosting	DIUL	DAS	
22	EXProject	Enter Cost	90	3	10	frmExpeditedScopingCosting	DIUL	DAS	
23	EXProject	Submit in EMMIE	100	3	10	frmExpeditedScopingCosting	QAS		
24	STProject	Assign DVS	10	2	9	frmStAssignDvs	STGL		Assign DVS
25	STProject	Generate Work Order	20	2	9	frmStWorkOrderDev	STDVS		Generate Work Order
26	STProject	Site Inspections	30	2	8	frmSTSiteInspections	SITFL	SI	Inspection
27	STProject	Scoping and Costing	40	3	10	frmStlaneScopingCosting	STGL		Scoping and Costing
28	Site	Site Entry	10	1	7	navProjectFormulation	PDTFL		
29	Site	DIU Lane Select	20	2	11	frmDIUProcessProjectRoutingSheet	DIUL	DIUS	
30	Site	Generate Work Order	30	2	11	frmStDvsSiteReview	STGL	STDVS	
31	Site	Inspection Assignment	40	2	11	frmSiteInspectionWorkOrder	SITFL	SI	
32	Site	Inspection	50	2	8	subfrmSiteStInspection	SITFL	SI	
33	Site	Draft DDD	35	2	11	frmStDvsSiteReview	STDVS		
34	Site	DDD Concurrence	70	2	8	frmStSiteConcurrence	SITFL	SI	
35	Site	NA3	80	2	8	frmStSiteConcurrence	SITFL	SI	
36	Site	NA4	90	2	8	frmStSiteConcurrence	PDTFL		
38	Site	NA2	100	2	8				
39	Site	NA5	110	2	8		SITFL		
40	Site	Scoping and Costing	120	3	10	frmStlaneScopingCosting	STGL	STPAS	
41	Site	Enter SOW in EMMIE	130	3	10	subfrmSitesScopeCost	STGL	STPAS	
42	STProject	Submit in EMMIE	50	3	10	frmStlaneScopingCosting	CFC		Enter SOW in EMMIE
43	Project	Compliance Review	1000	4		frmExpeditedLaneComplianceReviews	CFC		
44	Site	Assign DVS	25	2	11	frmStAssignDvs	STGL	STDVS	
45	STProject	DVS Draft DDD	25	2	9	frmStWorkOrderDev	STDVS		Draft DDD
46	STProject	Inspection Assignment	26	2	9	frmSiteInspectionWorkOrder-SITFL	SITFL		Inspection Assignment
47	STProject	DDD Concurrence	35	2	9	frmStSiteConcurrence	PDTFL		DDD Concurrence
48	Site	Ready for Concurrence	60	2	8	frmStSiteConcurrence	SITFL		
51	Site	Validation Assignment	41	2	11	frmSiteInspectionWorkOrder	SITFL	SI	
52	Site	Validation	51	2	8	subfrmSiteStInspection	SITFL	SI	
53	STProject	Check Site Status	34	2	9	frmDDDCompleteforProject	SITFL		
54	RFI	RFI Creation	10	1	1	frmRFIRequest	DIUS		
55	RFI	PDM Concurrence	20	1	1	frmRFIConcurrence	PDTFL		
56	RFI	Transmittal	30	1	1	frmRFITransmittal	PDTFL		
57	RFI	Pending Receipt	40	1	1	frmRFIReceipt	DIUL	DIUS	
58	RPA	DIU Update EMMIE Projections	75	1	12	frmUpdateRSMProjections	DIUS		
59	SPProject	Specialized Lane	30	2	2		SPGL		Specialized Lane-Site
60	Site	Specialized Lane-Site	30	2	2		SPGL		
